Date,000001.SS,Bovespa (Brazil),FTSE 100 (UK),S&P 500 (USA),Nikkei 225 (Japan),NIFTY 50 (India)
2000-08-21,2108.68994140625,17083.0,6542.2001953125,1499.47998046875,16040.1796875,4494.64990234375
2000-08-22,2074.702880859375,17224.0,6584.7998046875,1498.1300048828125,16454.740234375,4494.64990234375
2000-08-23,2057.9189453125,17450.0,6566.2001953125,1505.969970703125,16436.650390625,4494.64990234375
2000-08-24,2071.160888671875,17311.0,6557.0,1508.31005859375,16670.8203125,4494.64990234375
2000-08-25,2086.702880859375,17643.0,6563.7001953125,1506.449951171875,16911.330078125,4494.64990234375
2000-08-28,2100.5849609375,17460.0,6563.7001953125,1514.0899658203125,17181.119140625,4494.64990234375
2000-08-29,2105.47607421875,17355.0,6586.2998046875,1509.8399658203125,17141.75,4494.64990234375
2000-08-30,2076.14306640625,17414.0,6615.10009765625,1502.5899658203125,16901.669921875,4494.64990234375
2000-08-31,2021.198974609375,17347.0,6672.7001953125,1517.6800537109375,16861.259765625,4494.64990234375
2000-09-01,1999.8590087890625,17577.0,6795.0,1520.77001953125,16739.779296875,4494.64990234375
2000-09-04,2010.60205078125,17613.0,6798.10009765625,1520.77001953125,16688.2109375,4494.64990234375
2000-09-05,1963.7919921875,17425.0,6752.5,1507.0799560546875,16452.26953125,4494.64990234375
2000-09-06,1925.906982421875,17590.0,6694.7001953125,1492.25,16399.869140625,4494.64990234375
2000-09-07,1950.6629638671875,17590.0,6689.2001953125,1502.510009765625,16300.4599609375,4494.64990234375
2000-09-08,1959.31201171875,17433.0,6600.7001953125,1494.5,16501.55078125,4494.64990234375
2000-09-11,1972.04296875,17288.0,6582.0,1489.260009765625,16130.900390625,4494.64990234375
2000-09-12,1979.094970703125,16883.0,6555.5,1481.989990234375,16040.23046875,4494.64990234375
2000-09-13,1988.93603515625,16999.0,6478.2001953125,1484.9100341796875,16190.51953125,4494.64990234375
2000-09-14,1979.5050048828125,16769.0,6555.5,1480.8699951171875,16213.2802734375,4494.64990234375
2000-09-15,1978.4339599609375,16563.0,6417.2998046875,1465.81005859375,16213.2802734375,4494.64990234375
2000-09-18,1946.7530517578125,15913.0,6410.2001953125,1444.510009765625,16061.16015625,4494.64990234375
2000-09-19,1903.154052734375,16188.0,6403.5,1459.9000244140625,16124.1904296875,4494.64990234375
2000-09-20,1922.2889404296875,16078.0,6279.89990234375,1451.3399658203125,16458.310546875,4494.64990234375
2000-09-21,1907.3060302734375,16146.0,6199.2001953125,1449.050048828125,16311.0498046875,4494.64990234375
2000-09-22,1891.9840087890625,16353.0,6205.89990234375,1448.719970703125,15818.25,4494.64990234375
2000-09-25,1875.9110107421875,16319.0,6257.10009765625,1439.030029296875,15992.900390625,4494.64990234375
2000-09-26,1887.8289794921875,16255.0,6213.2001953125,1427.2099609375,15928.6201171875,4494.64990234375
2000-09-27,1914.0860595703125,15848.0,6269.2998046875,1426.5699462890625,15639.9501953125,4494.64990234375
2000-09-28,1889.2889404296875,16014.0,6264.10009765625,1458.2900390625,15626.9599609375,4494.64990234375
2000-09-29,1910.1610107421875,15928.0,6294.2001953125,1436.510009765625,15747.259765625,4494.64990234375
2000-10-02,1910.1610107421875,15559.0,6284.5,1436.22998046875,15902.509765625,4494.64990234375
2000-10-03,1910.1610107421875,15633.0,6345.0,1426.4599609375,15912.08984375,4494.64990234375
2000-10-04,1910.1610107421875,15876.0,6334.89990234375,1434.3199462890625,16149.080078125,4494.64990234375
2000-10-05,1910.1610107421875,16362.0,6382.0,1436.280029296875,16099.259765625,4494.64990234375
2000-10-06,1910.1610107421875,15946.0,6391.2001953125,1408.989990234375,15994.240234375,4494.64990234375
2000-10-09,1915.3499755859375,15855.0,6264.7998046875,1402.030029296875,15994.240234375,4494.64990234375
2000-10-10,1942.1490478515625,15747.0,6247.7001953125,1387.02001953125,15827.7197265625,4494.64990234375
2000-10-11,1933.7259521484375,15526.0,6117.60009765625,1364.5899658203125,15513.5703125,4494.64990234375
2000-10-12,1926.323974609375,15526.0,6131.89990234375,1329.780029296875,15550.6396484375,4494.64990234375
2000-10-13,1918.156982421875,15385.0,6209.60009765625,1374.1700439453125,15330.3095703125,4494.64990234375
2000-10-16,1902.8089599609375,15242.0,6285.7001953125,1374.6199951171875,15512.3203125,4494.64990234375
2000-10-17,1909.489990234375,14870.0,6203.2998046875,1349.969970703125,15340.2197265625,4494.64990234375
2000-10-18,1922.844970703125,14421.0,6148.2001953125,1342.1300048828125,14872.48046875,4494.64990234375
2000-10-19,1913.4200439453125,14845.0,6218.89990234375,1388.760009765625,14811.080078125,4494.64990234375
2000-10-20,1947.4549560546875,14529.0,6276.2998046875,1396.9300537109375,15198.73046875,4494.64990234375
2000-10-23,1958.93798828125,13990.0,6315.89990234375,1395.780029296875,15097.9599609375,4494.64990234375
2000-10-24,1956.343994140625,13799.0,6438.39990234375,1398.1300048828125,15148.1904296875,4494.64990234375
2000-10-25,1977.2540283203125,13665.0,6367.7998046875,1364.9000244140625,14840.4697265625,4494.64990234375
2000-10-26,1967.6729736328125,14223.0,6302.2998046875,1364.43994140625,14858.4296875,4494.64990234375
2000-10-27,1967.405029296875,14692.0,6366.60009765625,1379.5799560546875,14582.2001953125,4494.64990234375
2000-10-30,1973.5780029296875,14891.0,6388.39990234375,1398.6600341796875,14464.5595703125,4494.64990234375
2000-10-31,1961.2869873046875,14867.0,6438.39990234375,1429.4000244140625,14539.599609375,4494.64990234375
2000-11-01,1977.363037109375,14791.0,6457.60009765625,1421.219970703125,14872.3896484375,4494.64990234375
2000-11-02,1984.260009765625,14791.0,6392.0,1428.3199462890625,14837.7802734375,4494.64990234375
2000-11-03,1981.6309814453125,14534.0,6385.39990234375,1426.68994140625,14837.7802734375,4494.64990234375
2000-11-06,1991.1729736328125,14801.0,6431.0,1432.18994140625,15371.4404296875,4494.64990234375
2000-11-07,1997.0770263671875,14969.0,6466.89990234375,1431.8699951171875,15340.330078125,4494.64990234375
2000-11-08,2012.907958984375,14656.0,6477.39990234375,1409.280029296875,15399.6396484375,4494.64990234375
2000-11-09,2032.4820556640625,14524.0,6442.2001953125,1400.1400146484375,15060.0498046875,4494.64990234375
2000-11-10,2047.4580078125,14626.0,6400.2001953125,1365.97998046875,14988.5400390625,4494.64990234375
2000-11-13,2070.7880859375,14372.0,6274.7998046875,1351.260009765625,14664.6396484375,4494.64990234375
2000-11-14,2085.117919921875,14540.0,6412.89990234375,1382.949951171875,14660.0400390625,4494.64990234375
2000-11-15,2081.905029296875,14540.0,6432.2998046875,1389.81005859375,14799.1396484375,4494.64990234375
2000-11-16,2095.98388671875,14490.0,6430.39990234375,1372.3199462890625,14587.0302734375,4494.64990234375
2000-11-17,2093.235107421875,14323.0,6440.10009765625,1367.719970703125,14544.2998046875,4494.64990234375
2000-11-20,2101.388916015625,14500.0,6345.0,1342.6199951171875,14531.650390625,4494.64990234375
2000-11-21,2097.98193359375,14784.0,6382.2001953125,1347.3499755859375,14408.4599609375,4494.64990234375
2000-11-22,2113.302978515625,14577.0,6221.39990234375,1322.3599853515625,14301.3095703125,4494.64990234375
2000-11-23,2119.43896484375,14314.0,6287.2998046875,1322.3599853515625,14301.3095703125,4494.64990234375
2000-11-24,2053.3701171875,14336.0,6327.60009765625,1341.77001953125,14315.349609375,4494.64990234375
2000-11-27,2049.6708984375,14008.0,6374.7001953125,1348.969970703125,14720.3896484375,4494.64990234375
2000-11-28,2079.39599609375,13914.0,6249.7998046875,1336.0899658203125,14658.8701171875,4494.64990234375
2000-11-29,2064.794921875,13788.0,6164.89990234375,1341.9300537109375,14507.6396484375,4494.64990234375
2000-11-30,2070.613037109375,13287.0,6142.2001953125,1314.949951171875,14648.509765625,4494.64990234375
2000-12-01,2081.843017578125,13437.0,6170.39990234375,1315.22998046875,14835.330078125,4494.64990234375
2000-12-04,2092.138916015625,13510.0,6158.7001953125,1324.969970703125,14954.73046875,4494.64990234375
2000-12-05,2091.669921875,14182.0,6299.0,1376.5400390625,14695.0498046875,4494.64990234375
2000-12-06,2075.626953125,13945.0,6273.2998046875,1351.4599609375,14889.3701171875,4494.64990234375
2000-12-07,2075.0439453125,14460.0,6231.39990234375,1343.550048828125,14720.3603515625,4494.64990234375
2000-12-08,2073.1630859375,14983.0,6288.2998046875,1369.8900146484375,14696.509765625,4494.64990234375
2000-12-11,2046.0760498046875,15188.0,6370.39990234375,1380.199951171875,15015.7001953125,4494.64990234375
2000-12-12,2059.052978515625,14906.0,6390.39990234375,1371.1800537109375,15114.6396484375,4494.64990234375
2000-12-13,2056.1201171875,15291.0,6403.0,1359.989990234375,15168.6796875,4494.64990234375
2000-12-14,2051.0791015625,15259.0,6263.7998046875,1340.9300537109375,14927.1904296875,4494.64990234375
